Project Name,Borough,NTA - Neighborhood Tabulation Area,Income,Rented_vs_Owned,Level of Affordable in Building
SKA MARIN. 1918 FIRST AVE. DRAPER HALL,Manhattan,MN33,very_low,mostly_rented,mostly_affordable
WIN.75-121 JUNIUS ST.THE GLENMORE,Brooklyn,BK81,very_low,mostly_rented,mostly_affordable
Cooper Square. 222 East 13th St. Ali Forney,Manhattan,MN22,very_low,mostly_rented,mostly_affordable
NEP Round 1 Mott Haven,Bronx,BX39,moderately_low,mostly_rented,mostly_affordable
NEP Round 1 Mott Haven,Bronx,BX39,moderately_low,mostly_rented,mostly_affordable
NEP Round 1 Mott Haven,Bronx,BX39,moderately_low,mostly_rented,mostly_affordable
NEP Round 1 Mott Haven,Bronx,BX39,moderately_low,mostly_rented,mostly_affordable
NEP Round 1 Mott Haven,Bronx,BX39,moderately_low,mostly_rented,mostly_affordable
NEP Round 1 Mott Haven,Bronx,BX39,low,mostly_rented,mostly_affordable
NEP Round 1 Mott Haven,Bronx,BX39,moderately_low,mostly_rented,mostly_affordable
TBX907B- Belmont Arthur 2,Bronx,BX17,low,mostly_rented,mostly_affordable
TBX907B- Belmont Arthur 2,Bronx,BX17,low,mostly_rented,mostly_affordable
TBX907B- Belmont Arthur 2,Bronx,BX17,low,mostly_rented,mostly_affordable
TBX907B- Belmont Arthur 2,Bronx,BX36,low,mostly_rented,mostly_affordable
TBX909-Erickson,Bronx,BX35,low,mostly_rented,mostly_affordable
TBX909-Erickson,Bronx,BX41,low,mostly_rented,mostly_affordable
TBX909-Erickson,Bronx,BX36,low,mostly_rented,mostly_affordable
TBX909-Erickson,Bronx,BX36,low,mostly_rented,mostly_affordable
TMN601B - MDG,Manhattan,MN36,low,mostly_rented,mostly_affordable
40 Riverside Boulevard,Manhattan,MN14,low,mostly_rented,mostly_standard
1109 Madison Street,Brooklyn,BK78,low,mostly_rented,mostly_affordable
JEROME AVENUE TENANTS HDFC,Bronx,BX26,low,mostly_owned,mostly_affordable
Dorie Miller Apartments - WHGA,Manhattan,MN03,low,mostly_rented,mostly_affordable
Dorie Miller Apartments - WHGA,Manhattan,MN03,moderately_low,mostly_rented,mostly_affordable
Dorie Miller Apartments - WHGA,Manhattan,MN03,low,mostly_rented,mostly_affordable
Dorie Miller Apartments - WHGA,Manhattan,MN03,low,mostly_rented,mostly_affordable
HRP 133-134,Manhattan,MN06,low,mostly_rented,mostly_affordable
HRP 133-134,Manhattan,MN06,low,mostly_rented,mostly_affordable
URBAN HORIZONS HDFC.YR15.FY18,Bronx,BX63,low,mostly_rented,mostly_affordable
NORTH BROOKLYN OPPORTUNITIES (NBO),Brooklyn,BK77,low,mostly_rented,mostly_affordable
NORTH BROOKLYN OPPORTUNITIES (NBO),Brooklyn,BK90,low,mostly_rented,mostly_affordable
NORTH BROOKLYN OPPORTUNITIES (NBO),Brooklyn,BK76,low,mostly_rented,mostly_affordable
NORTH BROOKLYN OPPORTUNITIES (NBO),Brooklyn,BK90,low,mostly_rented,mostly_affordable
NORTH BROOKLYN OPPORTUNITIES (NBO),Brooklyn,BK78,low,mostly_rented,mostly_affordable
1091 Bushwick Avenue HDFC,Brooklyn,BK78,low,mostly_owned,mostly_affordable
1380 University Avenue,Bronx,BX26,low,mostly_rented,mostly_affordable
Vesta Steinway,Queens,QN72,moderately_low,mostly_rented,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Manhattan,MN33,low,mostly_owned,mostly_affordable
Maple Court - 1901 Madison Ave,Manhattan,MN34,low,mostly_owned,mostly_affordable
CAMBA GARDENS 2. 560 WINTHROP,Brooklyn,BK60,very_low,mostly_rented,mostly_affordable
TBK905 - Bridge Street,Brooklyn,BK37,moderately_low,mostly_rented,mostly_affordable
TBK905 - Bridge Street,Brooklyn,BK35,moderately_low,mostly_rented,mostly_affordable
TBK905 - Bridge Street,Brooklyn,BK75,low,mostly_rented,mostly_affordable
TBK905 - Bridge Street,Brooklyn,BK75,low,mostly_rented,mostly_affordable
TBK905 - Bridge Street,Brooklyn,BK61,very_low,mostly_rented,mostly_affordable
TBK905 - Bridge Street,Brooklyn,BK35,very_low,mostly_rented,mostly_affordable
TBK905 - Bridge Street,Brooklyn,BK61,low,mostly_rented,mostly_affordable
TBK905 - Bridge Street,Brooklyn,BK61,very_low,mostly_rented,mostly_affordable
TBK905 - Bridge Street,Brooklyn,BK61,very_low,mostly_rented,mostly_affordable
207 W. 147 St. HDFC,Manhattan,MN03,low,mostly_owned,mostly_affordable
508 West 134 Street,Manhattan,MN06,moderately_low,mostly_owned,mostly_affordable
204 AVENUE A & 535 EAST 12TH STREET PROJECT,Manhattan,MN22,low,mostly_owned,mostly_affordable
204 AVENUE A & 535 EAST 12TH STREET PROJECT,Manhattan,MN22,moderately_low,mostly_rented,mostly_affordable
Daly Avenue (Phipps),Bronx,BX17,low,mostly_rented,mostly_affordable
21 ARDEN STREET,Manhattan,MN35,moderately_low,mostly_owned,mostly_affordable
UP. 316 East 162nd St.,Bronx,BX14,very_low,mostly_rented,mostly_affordable
Hunts Point Cluster,Bronx,BX27,low,mostly_rented,mostly_affordable
Hunts Point Cluster,Bronx,BX27,moderately_low,mostly_rented,mostly_affordable
Hunts Point Cluster,Bronx,BX27,moderately_low,mostly_rented,mostly_affordable
Hunts Point Cluster,Bronx,BX27,moderately_low,mostly_rented,mostly_affordable
Hunts Point Cluster,Bronx,BX27,moderately_low,mostly_rented,mostly_affordable
Hunts Point Cluster,Bronx,BX27,moderately_low,mostly_rented,mostly_affordable
Hunts Point Cluster,Bronx,BX33,moderately_low,mostly_rented,mostly_affordable
1402 YORK AVENUE,Manhattan,MN31,low,mostly_owned,mostly_affordable
THE HUB,Brooklyn,BK38,low,mostly_rented,mostly_standard
TMN903 - Lemle & Wolff,Manhattan,MN03,low,mostly_rented,mostly_affordable
TMN903 - Lemle & Wolff,Manhattan,MN03,low,mostly_rented,mostly_affordable
TMN903 - Lemle & Wolff,Manhattan,MN03,moderately_low,mostly_rented,mostly_affordable
TMN903 - Lemle & Wolff,Manhattan,MN03,low,mostly_rented,mostly_affordable
847 Fox Street,Bronx,BX33,low,mostly_owned,mostly_affordable
LINDSAY PARK.HRP.FY18,Brooklyn,BK90,low,mostly_owned,mostly_affordable
LINDSAY PARK.HRP.FY18,Brooklyn,BK90,low,mostly_owned,mostly_affordable
